 time,total ,sickness,disorder,death
1999M01,2786,2313,419,54
1999M02,1950,1643,268,39
1999M03,2835,2384,389,62
1999M04,2616,2201,378,37
1999M05,2797,2342,402,53
1999M06,2724,2260,400,64
1999M07,3156,2681,413,62
1999M08,2786,2334,395,57
1999M09,2568,2203,324,41
1999M10,3018,2589,362,67
1999M11,3354,2711,592,51
1999M12,3119,2583,473,63
2000M01,3301,2777,474,50
2000M02,2246,1911,308,27
2000M03,3109,2603,449,57
2000M04,3022,2539,435,48
2000M05,3359,2861,443,55
2000M06,3240,2771,410,59
2000M07,3362,2794,508,60
2000M08,3461,2979,431,51
2000M09,3232,2747,423,62
2000M10,3273,2838,389,46
2000M11,3737,3229,461,47
2000M12,3520,3004,476,40
2001M01,2736,2339,361,36
2001M02,2726,2345,352,29
2001M03,3491,3016,435,40
2001M04,2957,2478,446,33
2001M05,3373,2852,465,56
2001M06,3376,2918,412,46
2001M07,3359,2934,383,42
2001M08,3433,2951,418,64
2001M09,3033,2679,313,41
2001M10,3224,2761,401,62
2001M11,3506,3025,424,57
2001M12,3172,2706,429,37
2002M01,3022,2586,387,49
2002M02,2149,1830,297,22
2002M03,2932,2512,374,46
2002M04,2983,2555,381,47
2002M05,3217,2737,434,46
2002M06,2928,2520,366,42
2002M07,3256,2801,411,44
2002M08,3203,2796,362,45
2002M09,3049,2659,354,36
2002M10,3494,3071,376,47
2002M11,3222,2793,385,44
2002M12,2871,2503,329,39
2003M01,3091,2697,347,47
2003M02,2377,2103,248,26
2003M03,3230,2866,336,28
2003M04,3304,2917,356,31
2003M05,1723,1388,310,25
2003M06,2554,2205,319,30
2003M07,3775,3334,405,36
2003M08,2835,2480,322,33
2003M09,3362,2971,351,40
2003M10,3294,2961,293,40
2003M11,3550,3154,368,28
2003M12,3393,3037,319,37
2004M01,2298,2021,250,27
2004M02,2643,2355,267,21
2004M03,3119,2726,345,48
2004M04,3575,3188,360,27
2004M05,3017,2687,310,20
2004M06,3416,3086,306,24
2004M07,3127,2798,292,37
2004M08,3252,2903,312,37
2004M09,3505,3160,313,32
2004M10,3398,3075,294,29
2004M11,3453,3103,318,32
2004M12,3352,2992,328,32
2005M01,3403,3068,306,29
2005M02,2188,1963,207,18
2005M03,3163,2801,333,29
2005M04,2751,2470,256,25
2005M05,3175,2847,308,20
2005M06,3289,2951,302,36
2005M07,2534,2265,242,27
2005M08,3363,3016,310,37
2005M09,3526,3227,257,42
2005M10,3177,2871,276,30
2005M11,3454,3108,295,51
